Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	プリンのうた (エコーボイスVer.)	QZZ7M2506680	199733632586	10	100	Song	BR	0	0.00911859	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Jigglypuff’s Song (Perish Song Version)	QZZ7M2506678	199733632586	14	100	Song	BR	0	0.01276602	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Jigglypuff’s Song (Hyper Voice Version)	QZZ7M2506676	199733632586	6	100	Song	BR	0	0.00547115	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Jigglypuff’s Song (Hyper Voice Version)	QZZ7M2506676	199733632586	60	100	Song	FR	0	0.20152701	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Jigglypuff’s Song (Rock Slide Version)	QZZ7M2506674	199733632586	8	100	Song	BR	0	0.00729487	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Jigglypuff’s Song (Rock Slide Version)	QZZ7M2506674	199733632586	68	100	Song	FR	0	0.22839728	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Jigglypuff’s Song (Sweet Kiss Version)	QZZ7M2506672	199733632586	6	100	Song	BR	0	0.00547115	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Jigglypuff’s Song (Echoed Voice Version)	QZZ7M2506670	199733632586	5	100	Song	BR	0	0.00455929	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Clefairy Clefairy	QZWFT2584124	199507434149	1	100	Song	ES	0	0.00547449	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Your Boyfriend is So Shady (Energy Upgrade)	QZTB72582972	199518525355	18	100	Song	BR	0	0.00856561	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Your Boyfriend is So Shady (Energy Upgrade)	QZTB72582972	199518525355	3	100	Song	CO	0	0.00143659	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Your Boyfriend is So Shady (Orchestra Patch)	QZTB72582953	199518525355	2	100	Song	BR	0	0.00095173	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Guys Who Don’t Like Me	QZK6Q2528855	199343103957	2	100	Song	FR	0	0.00270875	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Your Boyfriend is So Shady	QZWFV2424407	198880029133	1	100	Song	BR	0	0.00047587	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Your Boyfriend is So Shady	QZWFV2424407	198880029133	1	100	Song	FR	0	0.00335878	0.00000000
2026-03-04	2026-03-04	2025-11	Deezer	Kirbai	Your Boyfriend is So Shady	QZWFV2424407	198880029133	1	100	Song	US	0	0.00418359	0.00000000
2026-02-27	2026-02-27	2025-12	Spotify	Kirbai	Jigglypuff's Song (Uproar Ver.)	QT3F42510966	199741811775	1	100	Song	IN	0	0.00013700	0.00000000
2026-02-27	2026-02-27	2025-12	Spotify	Kirbai	Jigglypuff's Song (Uproar Ver.)	QT3F42510966	199741811775	117	100	Song	US	0	0.43378884	0.00000000
2026-02-27	2026-02-27	2025-12	Spotify	Kirbai	Jigglypuff's Song (Uproar Ver.)	QT3F42510966	199741811775	30	100	Song	GB	0	0.18476212	0.00000000
2026-02-27	2026-02-27	2025-12	Spotify	Kirbai	Jigglypuff’s Song (Rock Slide Version)	QZZ7M2506674	199733632586	1	100	Song	UA	0	0.00205200	0.00000000
2026-02-27	2026-02-27	2025-12	Spotify	Kirbai	Jigglypuff’s Song (Rock Slide Version)	QZZ7M2506674	199733632586	141	100	Song	US	0	0.71241873	0.00000000
