"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"April 7","Gothitelle is a fashion serial killer 🥀⛓️ To be honest, I wasn’t a fan of her before I started this project, but seeing her tie up and humiliate Machoke changed that. You’re bringing physical, she’s bringing magic✨ Featuring Gothorita dance crew and a dead Chandelure. Poor Sylveon never stood a chance 🎀💀 Track: Mean Look (Gothitelle Cut) - Kirbai #BannedBadge #Gothitelle #Machoke #PokemonTikTok #Kirbai #MeanLook #Gaymer #PokemonMusic","https://www.tiktok.com/@kirbaimusic/video/7593487256053140767","January 9","49921","341","5185","431923"
"April 7","Jynx is a star and I'm tired of her getting shafted❄️👄🔮 So I made this, Lovely Kiss.  Lmk if I should release the full version.  #jynx #pokemonmusic #pokemontiktok #justiceforjynx #villainera #kirbai","https://www.tiktok.com/@kirbaimusic/video/7588715885167152414","December 27","22686","307","5143","228506"
"April 7","She's just a Pokemon in love, and can't be held responsible for her actions. 🎀🔪 They say love makes you crazy, therefore you can't call her crazy. 'Cause when you call her crazy, you're just calling her "in love." BLAM!! 💥 Because if Golurk really didn't want her back, why would he have talked to her in the first place? 👀 Chapter 2 of the #HeartScales project. Her favorite Spice Girl is Scary Spice, but she'll tell you it's Baby. She may be dabbling in a light histrionic personality disorder, but that's just what makes her so special. Meowscarada, Pheromosa, and Meloetta are helping out. Prepare to surrender to the power of friendship. 💅 Who do I do next? 👇 🎧 Full lyric video for "Scrappy Klutz" is on my YouTube (Link in bio) #Lopunny #PokemonMusic #PokemonArt #3DAnimation #OriginalMusic #gaymer #Kirbai #pokemontiktok","https://www.tiktok.com/@kirbaimusic/video/7610108692238748958","February 23","19176","213","4361","191518"
"April 7","Pokopia is cute until you realize Ditto is in crisis 🩷 Ditto built an entire world for people who never came back. 🎧 I'm Just a Ditto – Kirbai | full song on Spotify & YouTube #Pokopia #Ditto #PokemonMusic #NintendoSwitch2 #gaymer","https://www.tiktok.com/@kirbaimusic/video/7615245411741109535","March 9","13823","87","564","158067"
"April 7","machoke control yourself… but like 👀 u free tonight? 🎵 Your Boyfriend is so Shady – Kirbai #PokemonLegendsZA #gaytiktok #pokemontok #kirbai #pokemon","https://www.tiktok.com/@kirbaimusic/video/7570460761609293086","November 8","17406","182","4692","100754"
"April 7","You requested the upgrade? 💎✨ The Baddie 4 running wild... but Gardevoir isn't having it 😤💅 Now she's Sailor Gardevoir, ready to end it all 🌙 💫 Full song + drama extension as the finale to the Banned Badge series, with as many callbacks as I could fitMoon Gardevoir Power, MAKE UP!!!!! ✨💖🌙 Track: "Pixilate" by Kirbai 🎧 (video version hit different... should i do a remix EP?) Duet if you're team Gardevoir, or tell me which of the 5 was your fav #Kirbai #SailorMoon #Gardevoir #Pokemon #ShinyGardevoir #MagicalGirl #PokemonAnimation #Gaymer #FYP #Animation #NewMusic","https://www.tiktok.com/@kirbaimusic/video/7601245602902461726","January 30","11039","181","2323","99629"
"April 7","Tsareena, the grass type diva 👑🌿 🎵: Power Whip (Tsareena Step) - Kirbai I spent way too much time getting the texture right on the pink boots, but if she's going to be banned from the league she might as well look expensive doing it. Added 12 cameos, see if you can spot them all. Hatterene is up next, then Gardevoir has to deal with the mess they've made. #pokemonmusic #tsareena #bannedbadge #kirbai #pokemontiktok #pokemon #dragrace #rpdr #gaymer","https://www.tiktok.com/@kirbaimusic/video/7595618954509323550","January 15","6548","135","1318","48621"
"April 7","Pokemon Winds and Waves announcement has me feeling like summer!! 🏝️ We doing Gecqua, Browt, or Pombon? Yes they all look like previous Pokemon, and yes I wish Pokemon would be more original, but also YES to cute fire types, realistic beautiful water shaders, and island settings! Hoping we got some top tier water fairy types in this gen. My body was NOT ready for this today. #pokemonday #pokemonwaves #pokemonwinds #browt #Gecqua #pombon #gen10 #nintendo #gaymer #pokemontiktok","https://www.tiktok.com/@kirbaimusic/video/7611705240068427039","February 27","2930","69","516","46323"
"April 7","Scream Tail’s Perish Song 😱💀 Track: Jigglypuff’s Song (Uproar Ver.) 🎶 full song in bio 🔗 #pokemon #screamtail #jigglypuff #pokemontiktok #Kirbai","https://www.tiktok.com/@kirbaimusic/video/7555167280582151454","September 28","2719","90","805","44712"
"April 7","HYGIENE REPORT🧪 The servers are finally sterile. Unit 02 is ready. 🧼✨ Translation: Distributor is slower than expected with new album. Crossing my fingers for next week. #HeartScales #pheromosa #Kirbai #NewMusic #pokemontiktok ","https://www.tiktok.com/@kirbaimusic/video/7606980990220733726","February 15","4573","30","318","44716"
"April 7","Mega Starmie used Aqua Jet 💎💨  2 days left until Pokemon Legends ZA! ahhhhhh  #Pokemon #pokemontiktok #Kirbai #staryu","https://www.tiktok.com/@kirbaimusic/video/7561101104021376286","October 14","1442","31","328","37526"
"April 7","The Banned Badge baddies face off against the Heart Scale hotties in the mashup EP, Battle Ready. High-intensity tracks for the final set. Really, I just wanted an excuse to see Jynx's hilarious face more. God I love her. 👑 Tsareena v 🐰 Lopunny 💋 Jynx v 💅 Pheromosa 🔮 Gothitelle v 🎭 Meowscarada 🧙‍♀️ Hatterene v 🎤 Meloetta #Kirbai #PokemonMusic #WorkoutMusic #GymPlaylist #Tsareena #Lopunny #Jynx #Pheromosa #gaymer #NewMusic #Pokemontiktok","https://www.tiktok.com/@kirbaimusic/video/7622717455680458015","March 29","4043","49","389","40691"
"April 7","What if Pokémon formed a K-pop group? 🧬✨ Heart Scales Project: Authenticated. A fan-made, transformative music experiment. 🎧 Heart Scales – Kirbai (Link in bio) Catch you in the lab. 🧼💿 #Pokemon #PokemonMusic #PokemonTikTok  #NewMusic #OriginalMusic #MusicTok  #HeartScales #kirbai","https://www.tiktok.com/@kirbaimusic/video/7607501423856667934","February 16","3189","57","343","34304"
"April 7","The Fusion Era starts now 💿❄️ Pixilate: The Fusions EP is live🚨 I promise I’m working on songs for new Pokémon, but in the meantime, I had to drop this project. Honestly, I just wanted to squeeze every last drop out of these assets I made, so please forgive me. Plus, remixes are fun. 💅✨ Track: Pixie Kiss (Jynx vs. Gardevoir) #Kirbai #Pixilate #Jynx #Gardevoir #PokemonRemix #NewMusic#Hyperpop #gaymer #BannedBadge #pokemontiktok","https://www.tiktok.com/@kirbaimusic/video/7603441355494395166","February 5","2386","18","389","29821"
"April 7","Gardevoir and Gothitelle fusion song. Track: “Pixie Look” The Heart Scales album was supposed to drop today but the distributor is dragging their feet with the processing. Should be live in a few days. #Gardevoir #Gothitelle #Pokemon #PokemonFusion #HeartScales        ","https://www.tiktok.com/@kirbaimusic/video/7606439992419749150","February 13","1992","27","124","28447"
