"Date","Hour","Active followers"
"March 31","0","2004"
"March 31","1","1575"
"March 31","2","1278"
"March 31","3","1145"
"March 31","4","1144"
"March 31","5","1354"
"March 31","6","1625"
"March 31","7","1833"
"March 31","8","2093"
"March 31","9","2218"
"March 31","10","2307"
"March 31","11","2275"
"March 31","12","2269"
"March 31","13","2215"
"March 31","14","2177"
"March 31","15","2222"
"March 31","16","2335"
"March 31","17","2310"
"March 31","18","2337"
"March 31","19","2374"
"March 31","20","2358"
"March 31","21","2391"
"March 31","22","2372"
"March 31","23","2236"
"April 1","0","1969"
"April 1","1","1588"
"April 1","2","1281"
"April 1","3","1151"
"April 1","4","1158"
"April 1","5","1342"
"April 1","6","1574"
"April 1","7","1899"
"April 1","8","2078"
"April 1","9","2277"
"April 1","10","2378"
"April 1","11","2359"
"April 1","12","2301"
"April 1","13","2200"
"April 1","14","2125"
"April 1","15","2156"
"April 1","16","2190"
"April 1","17","2275"
"April 1","18","2212"
"April 1","19","2361"
"April 1","20","2424"
"April 1","21","2421"
"April 1","22","2326"
"April 1","23","2158"
"April 2","0","1984"
"April 2","1","1604"
"April 2","2","1282"
"April 2","3","1205"
"April 2","4","1169"
"April 2","5","1305"
"April 2","6","1548"
"April 2","7","1825"
"April 2","8","2100"
"April 2","9","2306"
"April 2","10","2396"
"April 2","11","2374"
"April 2","12","2354"
"April 2","13","2245"
"April 2","14","2230"
"April 2","15","2226"
"April 2","16","2284"
"April 2","17","2311"
"April 2","18","2374"
"April 2","19","2450"
"April 2","20","2506"
"April 2","21","2439"
"April 2","22","2372"
"April 2","23","2296"
"April 3","0","2049"
"April 3","1","1710"
"April 3","2","1424"
"April 3","3","1248"
"April 3","4","1184"
"April 3","5","1293"
"April 3","6","1479"
"April 3","7","1755"
"April 3","8","2087"
"April 3","9","2227"
"April 3","10","2409"
"April 3","11","2460"
"April 3","12","2385"
"April 3","13","2297"
"April 3","14","2279"
"April 3","15","2233"
"April 3","16","2282"
"April 3","17","2354"
"April 3","18","2313"
"April 3","19","2371"
"April 3","20","2442"
"April 3","21","2426"
"April 3","22","2346"
"April 3","23","2211"
"April 4","0","1972"
"April 4","1","1736"
"April 4","2","1483"
"April 4","3","1325"
"April 4","4","1212"
"April 4","5","1285"
"April 4","6","1481"
"April 4","7","1716"
"April 4","8","1995"
"April 4","9","2252"
"April 4","10","2390"
"April 4","11","2461"
"April 4","12","2411"
"April 4","13","2314"
"April 4","14","2254"
"April 4","15","2231"
"April 4","16","2154"
"April 4","17","2213"
"April 4","18","2239"
"April 4","19","2414"
"April 4","20","2450"
"April 4","21","2433"
"April 4","22","2359"
"April 4","23","2235"
"April 5","0","2018"
"April 5","1","1757"
"April 5","2","1465"
"April 5","3","1351"
"April 5","4","1241"
"April 5","5","1202"
"April 5","6","1391"
"April 5","7","1668"
"April 5","8","2003"
"April 5","9","2234"
"April 5","10","2456"
"April 5","11","2524"
"April 5","12","2401"
"April 5","13","2371"
"April 5","14","2322"
"April 5","15","2275"
"April 5","16","2306"
"April 5","17","2360"
"April 5","18","2414"
"April 5","19","0"
"April 5","20","0"
"April 5","21","0"
"April 5","22","0"
"April 5","23","0"
