"Date","Followers","Difference in followers from previous day"
"April 6","undefined","0"
"April 7","undefined","0"
"April 8","undefined","0"
"April 9","undefined","0"
"April 10","undefined","0"
"April 11","undefined","0"
"April 12","undefined","0"
"April 13","undefined","0"
"April 14","undefined","0"
"April 15","undefined","0"
"April 16","undefined","0"
"April 17","undefined","0"
"April 18","undefined","0"
"April 19","undefined","0"
"April 20","undefined","0"
"April 21","undefined","0"
"April 22","undefined","0"
"April 23","undefined","0"
"April 24","undefined","0"
"April 25","undefined","0"
"April 26","undefined","0"
"April 27","undefined","0"
"April 28","undefined","0"
"April 29","undefined","0"
"April 30","undefined","0"
"May 1","undefined","0"
"May 2","undefined","0"
"May 3","undefined","0"
"May 4","undefined","0"
"May 5","undefined","0"
"May 6","undefined","0"
"May 7","undefined","0"
"May 8","undefined","0"
"May 9","undefined","0"
"May 10","undefined","0"
"May 11","undefined","0"
"May 12","undefined","0"
"May 13","2","0"
"May 14","2","0"
"May 15","2","0"
"May 16","2","0"
"May 17","2","0"
"May 18","2","0"
"May 19","2","0"
"May 20","2","0"
"May 21","2","0"
"May 22","2","0"
"May 23","2","0"
"May 24","2","0"
"May 25","2","0"
"May 26","2","0"
"May 27","2","0"
"May 28","2","0"
"May 29","2","0"
"May 30","2","0"
"May 31","2","0"
"June 1","2","1"
"June 2","3","0"
"June 3","3","0"
"June 4","3","0"
"June 5","3","0"
"June 6","3","0"
"June 7","3","1"
"June 8","4","0"
"June 9","4","0"
"June 10","4","0"
"June 11","4","0"
"June 12","4","0"
"June 13","4","0"
"June 14","4","0"
"June 15","4","0"
"June 16","4","0"
"June 17","4","0"
"June 18","4","0"
"June 19","4","0"
"June 20","4","0"
"June 21","4","0"
"June 22","4","0"
"June 23","4","0"
"June 24","4","0"
"June 25","4","0"
"June 26","4","0"
"June 27","4","0"
"June 28","4","1"
"June 29","5","0"
"June 30","5","0"
"July 1","5","0"
"July 2","5","0"
"July 3","5","0"
"July 4","5","0"
"July 5","5","0"
"July 6","5","0"
"July 7","5","0"
"July 8","5","0"
"July 9","5","0"
"July 10","5","0"
"July 11","5","0"
"July 12","5","0"
"July 13","5","0"
"July 14","5","0"
"July 15","5","0"
"July 16","5","0"
"July 17","5","0"
"July 18","5","0"
"July 19","5","0"
"July 20","5","0"
"July 21","5","0"
"July 22","5","0"
"July 23","5","0"
"July 24","5","0"
"July 25","5","0"
"July 26","5","0"
"July 27","5","0"
"July 28","5","0"
"July 29","5","0"
"July 30","5","0"
"July 31","5","0"
"August 1","5","0"
"August 2","5","0"
"August 3","5","0"
"August 4","5","0"
"August 5","5","1"
"August 6","6","1"
"August 7","7","0"
"August 8","7","0"
"August 9","7","0"
"August 10","7","0"
"August 11","7","0"
"August 12","7","0"
"August 13","7","0"
"August 14","7","0"
"August 15","7","0"
"August 16","7","0"
"August 17","7","1"
"August 18","8","0"
"August 19","8","0"
"August 20","8","0"
"August 21","8","0"
"August 22","8","0"
"August 23","8","1"
"August 24","9","0"
"August 25","9","0"
"August 26","9","0"
"August 27","9","2"
"August 28","11","0"
"August 29","11","0"
"August 30","11","1"
"August 31","12","0"
"September 1","12","0"
"September 2","12","1"
"September 3","13","1"
"September 4","14","0"
"September 5","14","0"
"September 6","14","0"
"September 7","14","0"
"September 8","14","0"
"September 9","14","0"
"September 10","14","0"
"September 11","14","1"
"September 12","15","1"
"September 13","16","0"
"September 14","16","0"
"September 15","16","3"
"September 16","19","2"
"September 17","21","0"
"September 18","21","0"
"September 19","21","0"
"September 20","21","1"
"September 21","22","0"
"September 22","22","5"
"September 23","27","28"
"September 24","55","21"
"September 25","76","10"
"September 26","86","3"
"September 27","89","15"
"September 28","104","41"
"September 29","145","30"
"September 30","175","19"
"October 1","194","12"
"October 2","206","6"
"October 3","212","2"
"October 4","214","4"
"October 5","218","4"
"October 6","222","4"
"October 7","226","4"
"October 8","230","1"
"October 9","231","20"
"October 10","251","14"
"October 11","265","9"
"October 12","274","14"
"October 13","288","14"
"October 14","302","12"
"October 15","314","13"
"October 16","327","5"
"October 17","332","6"
"October 18","338","2"
"October 19","340","1"
"October 20","341","0"
"October 21","341","1"
"October 22","342","2"
"October 23","344","1"
"October 24","345","-1"
"October 25","344","9"
"October 26","353","7"
"October 27","360","5"
"October 28","365","4"
"October 29","369","3"
"October 30","372","2"
"October 31","374","4"
"November 1","378","5"
"November 2","383","0"
"November 3","383","0"
"November 4","383","2"
"November 5","385","2"
"November 6","387","1"
"November 7","388","6"
"November 8","394","51"
"November 9","445","34"
"November 10","479","12"
"November 11","491","9"
"November 12","500","10"
"November 13","510","6"
"November 14","516","5"
"November 15","521","1"
"November 16","522","5"
"November 17","527","1"
"November 18","528","1"
"November 19","529","3"
"November 20","532","4"
"November 21","536","1"
"November 22","537","5"
"November 23","542","2"
"November 24","544","0"
"November 25","544","2"
"November 26","546","-2"
"November 27","544","2"
"November 28","546","2"
"November 29","548","4"
"November 30","552","3"
"December 1","555","5"
"December 2","560","1"
"December 3","561","4"
"December 4","565","0"
"December 5","565","2"
"December 6","567","1"
"December 7","568","1"
"December 8","569","1"
"December 9","570","0"
"December 10","570","0"
"December 11","570","2"
"December 12","572","3"
"December 13","575","0"
"December 14","575","1"
"December 15","576","0"
"December 16","576","1"
"December 17","577","0"
"December 18","577","0"
"December 19","577","1"
"December 20","578","0"
"December 21","578","0"
"December 22","578","1"
"December 23","579","4"
"December 24","583","5"
"December 25","588","8"
"December 26","596","9"
"December 27","605","52"
"December 28","657","75"
"December 29","732","22"
"December 30","754","9"
"December 31","763","8"
"January 1","771","9"
"January 2","780","2"
"January 3","782","1"
"January 4","783","9"
"January 5","792","2"
"January 6","794","2"
"January 7","796","6"
"January 8","802","11"
"January 9","813","159"
"January 10","972","126"
"January 11","1098","246"
"January 12","1344","775"
"January 13","2119","358"
"January 14","2477","195"
"January 15","2672","164"
"January 16","2836","242"
"January 17","3078","219"
"January 18","3297","101"
"January 19","3398","52"
"January 20","3450","36"
"January 21","3486","37"
"January 22","3523","36"
"January 23","3559","33"
"January 24","3592","21"
"January 25","3613","39"
"January 26","3652","42"
"January 27","3694","34"
"January 28","3728","32"
"January 29","3760","33"
"January 30","3793","226"
"January 31","4019","188"
"February 1","4207","100"
"February 2","4307","60"
"February 3","4367","62"
"February 4","4429","83"
"February 5","4512","104"
"February 6","4616","95"
"February 7","4711","77"
"February 8","4788","66"
"February 9","4854","48"
"February 10","4902","61"
"February 11","4963","31"
"February 12","4994","36"
"February 13","5030","65"
"February 14","5095","108"
"February 15","5203","129"
"February 16","5332","106"
"February 17","5438","32"
"February 18","5470","42"
"February 19","5512","29"
"February 20","5541","25"
"February 21","5566","33"
"February 22","5599","64"
"February 23","5663","467"
"February 24","6130","202"
"February 25","6332","125"
"February 26","6457","69"
"February 27","6526","120"
"February 28","6646","99"
"March 1","6745","60"
"March 2","6805","96"
"March 3","6901","34"
"March 4","6935","46"
"March 5","6981","34"
"March 6","7015","40"
"March 7","7055","37"
"March 8","7092","36"
"March 9","7128","27"
"March 10","7155","27"
"March 11","7182","10"
"March 12","7192","12"
"March 13","7204","18"
"March 14","7222","17"
"March 15","7239","12"
"March 16","7251","23"
"March 17","7274","25"
"March 18","7299","22"
"March 19","7321","19"
"March 20","7340","10"
"March 21","7350","11"
"March 22","7361","9"
"March 23","7370","10"
"March 24","7380","4"
"March 25","7384","6"
"March 26","7390","7"
"March 27","7397","4"
"March 28","7401","11"
"March 29","7412","30"
"March 30","7442","12"
"March 31","7454","21"
"April 1","7475","20"
"April 2","7495","20"
"April 3","7515","22"
"April 4","7537","14"
"April 5","7551","0"
