"Date","Video Views","Profile Views","Likes","Comments","Shares"
"April 6","0","0","0","0","0"
"April 7","0","0","0","0","0"
"April 8","0","0","0","0","0"
"April 9","0","0","0","0","0"
"April 10","0","0","0","0","0"
"April 11","0","0","0","0","0"
"April 12","0","0","0","0","0"
"April 13","0","0","0","0","0"
"April 14","0","0","0","0","0"
"April 15","0","0","0","0","0"
"April 16","0","0","0","0","0"
"April 17","0","0","0","0","0"
"April 18","0","0","0","0","0"
"April 19","0","0","0","0","0"
"April 20","0","0","0","0","0"
"April 21","0","0","0","0","0"
"April 22","0","0","0","0","0"
"April 23","0","0","0","0","0"
"April 24","0","0","0","0","0"
"April 25","0","0","0","0","0"
"April 26","0","0","0","0","0"
"April 27","0","0","0","0","0"
"April 28","0","0","0","0","0"
"April 29","0","0","0","0","0"
"April 30","0","0","0","0","0"
"May 1","0","0","0","0","0"
"May 2","0","0","0","0","0"
"May 3","0","0","0","0","0"
"May 4","0","0","0","0","0"
"May 5","0","0","0","0","0"
"May 6","0","0","0","0","0"
"May 7","0","0","0","0","0"
"May 8","0","0","0","0","0"
"May 9","0","0","0","0","0"
"May 10","0","0","0","0","0"
"May 11","0","0","0","0","0"
"May 12","0","0","0","0","0"
"May 13","8","9","0","0","0"
"May 14","6","15","0","0","0"
"May 15","0","2","0","0","0"
"May 16","0","1","0","0","0"
"May 17","0","2","0","0","0"
"May 18","0","2","0","0","0"
"May 19","0","1","0","0","0"
"May 20","0","2","0","0","0"
"May 21","0","1","0","0","0"
"May 22","0","0","0","0","0"
"May 23","0","1","0","0","0"
"May 24","0","1","0","0","0"
"May 25","0","0","0","0","0"
"May 26","0","0","0","0","0"
"May 27","0","0","0","0","0"
"May 28","0","0","0","0","0"
"May 29","0","0","0","0","0"
"May 30","0","0","0","0","0"
"May 31","0","0","0","0","0"
"June 1","0","0","0","0","0"
"June 2","0","0","0","0","0"
"June 3","0","0","0","0","0"
"June 4","0","1","0","0","0"
"June 5","0","0","0","0","0"
"June 6","0","0","0","0","0"
"June 7","0","0","0","0","0"
"June 8","0","2","0","0","0"
"June 9","0","0","0","0","0"
"June 10","0","0","0","0","0"
"June 11","0","0","0","0","0"
"June 12","0","0","0","0","0"
"June 13","0","0","0","0","0"
"June 14","0","0","0","0","0"
"June 15","0","0","0","0","0"
"June 16","0","0","0","0","0"
"June 17","0","0","0","0","0"
"June 18","0","0","0","0","0"
"June 19","0","0","0","0","0"
"June 20","0","0","0","0","0"
"June 21","0","0","0","0","0"
"June 22","0","0","0","0","0"
"June 23","0","1","0","0","0"
"June 24","0","0","0","0","0"
"June 25","0","0","0","0","0"
"June 26","0","0","0","0","0"
"June 27","0","0","0","0","0"
"June 28","0","0","0","0","0"
"June 29","0","0","0","0","0"
"June 30","0","0","0","0","0"
"July 1","0","0","0","0","0"
"July 2","0","0","0","0","0"
"July 3","0","1","0","0","0"
"July 4","0","0","0","0","0"
"July 5","0","0","0","0","0"
"July 6","0","0","0","0","0"
"July 7","0","0","0","0","0"
"July 8","0","0","0","0","0"
"July 9","0","0","0","0","0"
"July 10","0","0","0","0","0"
"July 11","0","0","0","0","0"
"July 12","0","1","0","0","0"
"July 13","0","1","0","0","0"
"July 14","0","0","0","0","0"
"July 15","0","1","0","0","0"
"July 16","0","0","0","0","0"
"July 17","8","2","1","1","0"
"July 18","10","1","1","0","1"
"July 19","2","1","0","0","0"
"July 20","1","0","0","0","0"
"July 21","3","0","0","0","0"
"July 22","3","2","0","0","0"
"July 23","1","0","0","0","0"
"July 24","2","0","0","0","0"
"July 25","0","0","0","0","0"
"July 26","0","0","0","0","0"
"July 27","1","0","1","0","0"
"July 28","0","0","0","0","0"
"July 29","1","2","0","0","0"
"July 30","0","0","0","0","0"
"July 31","0","0","0","0","0"
"August 1","0","0","0","0","0"
"August 2","1","1","0","0","0"
"August 3","0","0","0","0","0"
"August 4","0","0","0","0","0"
"August 5","0","0","0","0","0"
"August 6","2","0","0","0","0"
"August 7","0","1","0","0","0"
"August 8","0","0","0","0","0"
"August 9","0","0","0","0","0"
"August 10","1","1","0","0","0"
"August 11","0","0","0","0","0"
"August 12","1","0","0","0","0"
"August 13","26","1","0","0","0"
"August 14","20","2","1","0","0"
"August 15","5","0","0","0","0"
"August 16","3","0","0","0","0"
"August 17","4","0","0","0","0"
"August 18","2","0","0","0","0"
"August 19","3","1","0","0","0"
"August 20","13","0","1","0","0"
"August 21","28","1","1","0","0"
"August 22","10","0","0","0","0"
"August 23","4","0","0","0","0"
"August 24","73","0","0","0","0"
"August 25","182","3","7","0","0"
"August 26","189","1","9","0","0"
"August 27","41","0","3","0","0"
"August 28","10","1","0","0","0"
"August 29","13","0","0","0","0"
"August 30","272","0","11","1","0"
"August 31","22","1","1","0","0"
"September 1","14","1","1","0","0"
"September 2","92","1","0","0","0"
"September 3","500","3","21","13","6"
"September 4","57","4","9","0","0"
"September 5","20","1","3","0","0"
"September 6","26","0","2","0","0"
"September 7","31","2","1","0","0"
"September 8","19","0","1","0","0"
"September 9","436","2","14","2","1"
"September 10","153","0","5","0","0"
"September 11","389","1","24","2","3"
"September 12","314","2","13","0","8"
"September 13","226","3","5","1","0"
"September 14","177","1","10","3","2"
"September 15","462","1","20","3","2"
"September 16","920","6","86","1","12"
"September 17","1036","8","67","2","11"
"September 18","135","2","7","0","1"
"September 19","113","2","7","0","0"
"September 20","62","0","0","0","0"
"September 21","1063","4","70","2","3"
"September 22","198","4","11","2","3"
"September 23","2884","30","200","11","133"
"September 24","8932","139","718","25","456"
"September 25","5177","92","461","15","277"
"September 26","1731","32","155","9","74"
"September 27","713","13","64","0","22"
"September 28","4328","72","315","8","110"
"September 29","10333","243","941","48","289"
"September 30","8995","177","905","22","272"
"October 1","3881","77","382","10","100"
"October 2","3073","55","287","30","65"
"October 3","1618","30","79","10","61"
"October 4","1748","22","101","16","15"
"October 5","1310","31","77","1","9"
"October 6","1819","30","118","19","16"
"October 7","1049","17","61","2","11"
"October 8","1581","22","97","-5","7"
"October 9","650","13","25","3","9"
"October 10","6141","98","444","21","158"
"October 11","5497","57","325","8","92"
"October 12","4493","46","262","11","28"
"October 13","4405","62","229","21","51"
"October 14","10675","85","590","20","92"
"October 15","14529","116","936","34","220"
"October 16","13938","82","656","18","86"
"October 17","8877","28","288","3","50"
"October 18","4462","26","105","7","16"
"October 19","2406","16","70","0","10"
"October 20","1641","4","51","3","7"
