"Date","Total Viewers","New Viewers","Returning Viewers"
"April 7","undefined","0","0"
"April 8","undefined","0","0"
"April 9","undefined","0","0"
"April 10","undefined","0","0"
"April 11","undefined","0","0"
"April 12","undefined","0","0"
"April 13","undefined","0","0"
"April 14","undefined","0","0"
"April 15","undefined","0","0"
"April 16","undefined","0","0"
"April 17","undefined","0","0"
"April 18","undefined","0","0"
"April 19","undefined","0","0"
"April 20","undefined","0","0"
"April 21","undefined","0","0"
"April 22","undefined","0","0"
"April 23","undefined","0","0"
"April 24","undefined","0","0"
"April 25","undefined","0","0"
"April 26","undefined","0","0"
"April 27","undefined","0","0"
"April 28","undefined","0","0"
"April 29","undefined","0","0"
"April 30","undefined","0","0"
"May 1","undefined","0","0"
"May 2","undefined","0","0"
"May 3","undefined","0","0"
"May 4","undefined","0","0"
"May 5","undefined","0","0"
"May 6","undefined","0","0"
"May 7","undefined","0","0"
"May 8","undefined","0","0"
"May 9","undefined","0","0"
"May 10","undefined","0","0"
"May 11","undefined","0","0"
"May 12","undefined","0","0"
"May 13","0","0","0"
"May 14","1","1","0"
"May 15","1","0","1"
"May 16","0","0","0"
"May 17","0","0","0"
"May 18","0","0","0"
"May 19","0","0","0"
"May 20","0","0","0"
"May 21","0","0","0"
"May 22","0","0","0"
"May 23","0","0","0"
"May 24","0","0","0"
"May 25","0","0","0"
"May 26","0","0","0"
"May 27","0","0","0"
"May 28","0","0","0"
"May 29","0","0","0"
"May 30","0","0","0"
"May 31","0","0","0"
"June 1","0","0","0"
"June 2","0","0","0"
"June 3","0","0","0"
"June 4","0","0","0"
"June 5","0","0","0"
"June 6","0","0","0"
"June 7","0","0","0"
"June 8","0","0","0"
"June 9","0","0","0"
"June 10","0","0","0"
"June 11","0","0","0"
"June 12","0","0","0"
"June 13","0","0","0"
"June 14","0","0","0"
"June 15","0","0","0"
"June 16","0","0","0"
"June 17","0","0","0"
"June 18","0","0","0"
"June 19","0","0","0"
"June 20","0","0","0"
"June 21","0","0","0"
"June 22","0","0","0"
"June 23","0","0","0"
"June 24","0","0","0"
"June 25","0","0","0"
"June 26","0","0","0"
"June 27","0","0","0"
"June 28","0","0","0"
"June 29","0","0","0"
"June 30","0","0","0"
"July 1","0","0","0"
"July 2","0","0","0"
"July 3","0","0","0"
"July 4","0","0","0"
"July 5","0","0","0"
"July 6","0","0","0"
"July 7","0","0","0"
"July 8","0","0","0"
"July 9","0","0","0"
"July 10","0","0","0"
"July 11","0","0","0"
"July 12","0","0","0"
"July 13","0","0","0"
"July 14","0","0","0"
"July 15","0","0","0"
"July 16","0","0","0"
"July 17","0","0","0"
"July 18","3","2","1"
"July 19","2","0","2"
"July 20","1","0","1"
"July 21","1","0","1"
"July 22","2","1","1"
"July 23","2","1","1"
"July 24","2","2","0"
"July 25","0","0","0"
"July 26","0","0","0"
"July 27","1","1","0"
"July 28","0","0","0"
"July 29","0","0","0"
"July 30","1","1","0"
"July 31","0","0","0"
"August 1","0","0","0"
"August 2","0","0","0"
"August 3","1","1","0"
"August 4","0","0","0"
"August 5","0","0","0"
"August 6","0","0","0"
"August 7","2","1","1"
"August 8","0","0","0"
"August 9","0","0","0"
"August 10","0","0","0"
"August 11","1","1","0"
"August 12","0","0","0"
"August 13","1","1","0"
"August 14","19","17","2"
"August 15","13","11","2"
"August 16","5","5","0"
"August 17","2","0","2"
"August 18","4","4","0"
"August 19","2","2","0"
"August 20","2","1","1"
"August 21","6","3","3"
"August 22","10","8","2"
"August 23","9","9","0"
"August 24","4","4","0"
"August 25","56","54","2"
"August 26","150","147","3"
"August 27","153","151","2"
"August 28","24","23","1"
"August 29","9","8","1"
"August 30","8","6","2"
"August 31","241","238","3"
"September 1","11","7","4"
"September 2","9","8","1"
"September 3","78","76","2"
"September 4","389","376","13"
